GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-list,edu.westga.shoppinglist,Main,25,0,0,0,8,0,3,0,3,0
shopping-list,edu.westga.shoppinglist,ShoppingListController,0,66,0,2,0,15,0,8,0,7
